id,fake-company-name,description,tagline,company-email,ein
"1","Yost Ltd","User-Friendly Fresh-Thinking Productivity","Streamline One-To-One Partnerships","nankunding@jacobi.net","56-1129277"
"2","Mayer-Jenkins","Visionary Exuding Frame","Harness Vertical Communities","frederik99@raynor.org","33-7772437"
"3","Koelpin, Langosh and Ebert","Integrated Incremental Firmware","Drive B2B Interfaces","larue06@morissette.com","38-9656376"
"4","Schaefer and Sons","Re-Engineered System-Worthy Collaboration","Architect World-Class Synergies","daniel.buddy@mann.com","86-9919900"
"5","O'Kon Group","Synergized Object-Oriented Help-Desk","Utilize Wireless Networks","weber.adrianna@shields.com","62-9246257"
"6","Hagenes and Sons","Function-Based Incremental Paradigm","Target Holistic Deliverables","fhill@conroy.com","35-8143446"
"7","Lakin Inc","Centralized Radical Migration","Synthesize 24/7 E-Business","wankunding@bins.biz","06-8937299"
"8","Will, Ritchie and Hegmann","Ergonomic Needs-Based Firmware","Optimize E-Business Convergence","larson.roberto@orn.net","82-8679129"
"9","Dibbert Inc","De-Engineered Grid-Enabled Monitoring","Evolve Extensible Action-Items","casimir.emmerich@rohan.com","82-7544205"
"10","Wiegand Group","Enhanced Modular Instructionset","Strategize Out-Of-The-Box Markets","maybell.beatty@wiza.com","14-7459881"
"11","Runolfsdottir-Schinner","Business-Focused Even-Keeled Migration","Mesh Plug-And-Play Content","rlarson@hansen.net","71-3624629"
"12","Turcotte, Hills and Spinka","Horizontal Tangible Intranet","Architect Innovative E-Services","wintheiser.kurtis@dickinson.com","38-7024361"
"13","Muller-Ankunding","Polarised 3Rdgeneration Help-Desk","Reinvent Value-Added Users","lmante@rodriguez.com","04-9265492"
"14","Wyman, Watsica and Okuneva","Diverse Demand-Driven Artificialintelligence","Maximize Wireless Functionalities","vhegmann@block.org","84-3645548"
"15","Larson Group","Triple-Buffered Regional Firmware","Evolve Wireless Deliverables","flo77@wisozk.net","88-8649293"
"16","Corwin, Ruecker and Grimes","Virtual User-Facing Processimprovement","Seize Integrated Networks","germaine67@bode.net","22-2870674"
"17","Hansen-Grant","Pre-Emptive Needs-Based Structure","Evolve Scalable Models","jast.shawn@nienow.com","38-5584959"
"18","Block PLC","Down-Sized Encompassing Service-Desk","Evolve Wireless Platforms","eichmann.zelda@kovacek.com","43-5681167"
"19","Senger, Mraz and Runolfsson","Synergistic Content-Based Middleware","Envisioneer B2C Portals","iglover@schmidt.com","45-1452280"
"20","Collier-Harris","Customizable Systematic Focusgroup","Leverage Transparent Vortals","waylon69@kuhic.com","98-8668939"
"21","Okuneva, Schiller and Mayer","Enhanced Uniform Application","Exploit Extensible Content","cgorczany@mayert.com","11-5405209"
"22","Ritchie, Hermann and Brakus","Assimilated Encompassing Forecast","Cultivate Innovative E-Tailers","lamar.renner@weimann.com","94-1522215"
"23","Schuster PLC","Public-Key Systemic Openarchitecture","Grow Granular Technologies","oda.beier@muller.info","87-8278815"
"24","Schroeder-Bode","Facetoface Motivating Customerloyalty","Target Global Relationships","don72@quigley.org","82-8872229"
"25","Spencer and Sons","Virtual 4Thgeneration Toolset","Recontextualize Innovative Web-Readiness","kane78@crona.com","74-6591183"
